"origin","nb_outlinks","outlinks","weights","nb_airlines"
"SUB","43","AAP AMQ BDJ BEJ BPN BTH BWN BWX BXW CAN CGK DMK DPS FOC HKG HLP JBB JED JHB KDI KNO KOE KUL LBJ LOP LUW MDC MED PEN PKN PKU PKY PLM PLW PNK SIN SMQ SRG TIM TMC TRK TTE UPG","2 1 2 2 5 2 1 1 1 1 6 1 5 1 2 2 1 2 1 2 1 1 3 1 3 1 1 2 1 2 1 3 1 1 3 2 2 1 1 1 2 1 5","23"
"SUF","52","BGY BLQ BRQ BRU BSL BTS BUD BZO CGN CRL DUS FCO FKB FMM FRA GOA GVA HAJ HHN INN KRK KTW LGW LIN LUX MAD MAN MLA MXP NCE ORY OSR OTP PRG PSA SCN SOF STN STR SZG TIA TRN TRS TSF VCE VIE VLC VRN WAW WRO YYZ ZRH","1 1 1 1 1 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 3 1 1 1 1 1 1 1 2 1 1 1 1 1 1 1 1 2 1 2 2 1 1 1","16"
"SUG","1","CEB","1","1"
"SUI","3","PEE SVO VKO","1 1 1","2"
"SUJ","2","LTN OTP","1 1","2"
"SUK","1","YKS","1","1"
"SUN","9","DEN LAX ORD PHX SAN SEA SFO SLC VNY","1 2 2 1 1 2 1 1 1","5"
"SUP","1","BXW","1","1"
"SUR","2","YFH YWP","1 1","1"
"SUS","0","","","31"
"SUU","0","","","1"
"SUV","15","FUN ICI INU KDV KXF LBS LEV LKB MFJ NAN NGI RTA SVU TVU VBV","1 1 1 1 2 2 1 1 1 1 1 2 2 2 1","3"
"SUX","2","DEN ORD","1 1","1"
"SUY","1","YKS","1","1"
"SVA","2","GAM OME","1 1","1"
"SVB","4","DIE TMM TNR WMN","1 1 1 1","1"
"SVC","2","ABQ PHX","1 1","1"
"SVD","21","ANU ATL BGI BQU CIW CLT CRU DCF DOM FDF GND JFK LHR MIA MQS POS SLU SXM UNI UVF YYZ","3 1 6 2 2 1 1 1 1 1 3 3 1 1 3 1 5 1 1 1 1","13"
"SVG","32","ABZ AGP ALC AMS ARN AYT BCN BGO BGY CDG CPH DBV EBJ FRA GDN HEL KRK LGW LPA MAN MXP NCE OSL PMI PVK RHO SID SPU TFS TRD TRF WAW","2 1 2 1 1 1 1 3 1 1 2 1 1 1 1 1 2 1 1 1 1 2 3 2 1 1 1 2 1 2 1 1","10"
"SVI","3","ACR BOG NVA","1 1 1","1"
"SVJ","4","BOO OSL RET TOS","1 1 1 1","1"
"SVK","1","TZA","1","1"
"SVL","1","HEL","1","1"
"SVO","141","ABA AER ALA ALG ARH ASF AUH AYT BAH BAX BEG BHK BJV BKK BQS BQT BSZ CAI CAN CEE CEK CIT CKG CMB CMN COV CSY CXR DEL DLM DOH DPS DXB DYR ESB ESL EVN FEG FNJ GDX GDZ GME GOJ GOX GRV GSV GUW GYD HAK HAN HAV HGH HKG HKT HMA HOG HRG IGT IJK IKA IKT IKU IST KBL KEJ KGD KGF KHV KJA KQT KRR KSN KVX KZN LED MCT MCX MHD MLE MMK MQF MRU MRV MSQ MVQ NAL NBC NBE NJC NOZ NQZ NUX OGZ OMS OSS OSW OVB PEE PEK PES PEZ PKC PKX PVG REN RGK RUH SCO SCW SEZ SGC SGN SHE SKD SKX SLL SLY SSH STW SVX SYX SZX TAO TAS TFU TJM TOF UCT UFA UGC ULV URC UUD UUS UWWW VOG VRA VVO WUH XIY YKS","1 5 3 1 3 4 2 4 1 2 1 1 2 1 1 1 1 1 2 1 3 1 1 1 1 1 2 2 1 2 1 1 1 1 1 1 4 1 1 1 1 1 2 1 1 2 1 2 1 1 1 1 1 1 1 1 3 2 2 2 2 1 3 1 1 5 1 2 2 1 1 1 1 4 5 1 4 1 1 4 2 1 4 2 1 1 2 1 1 1 3 1 3 2 1 2 3 3 2 1 2 1 3 2 3 1 1 1 2 1 1 1 1 1 1 1 1 6 2 4 1 1 1 2 1 4 2 1 3 1 2 2 2 2 4 3 1 1 1 1 1","36"
"SVP","1","LAD","1","1"
"SVQ","100","ACE ALC AMS ARN ATH BCN BEG BER BES BGY BHX BIO BLQ BOD BRI BRS BRU BSL BUD BVA CAG CDG CGN CMN CPH CRL CTA DUB DUS EAS EDI EIN ESU FCO FKB FLR FRA FUE GVA HAM IBZ IST KRK LEI LGW LHR LIL LIS LPA LPL LTN LUX LYS MAD MAH MAN MLA MLN MPL MRS MUC MXP NAP NCE NRN NTE NUE OLB OPO ORK ORY OTP OVD PMI PRG PSA RAK RBA RNS RTM SAW SCQ SDR STN TFN TFS TLS TNG TPS TRN TRS TSF VCE VIE VIT VLC VRN WAW WRO ZRH","3 1 2 1 1 2 1 1 1 1 1 2 1 2 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 1 1 2 1 2 1 1 1 2 1 1 2 1 1 1 3 1 1 2 2 1 2 1 2 2 2 1 1 1 1 2 1 3 1 1 1 2 1 1 1 1 1 1 2 2 1 1 1 1 1 1 1 2 1 1 2 1 1 1 1 1 1 1 2 1 1 3 1 2 1 1","22"
"SVR","1","THU","1","1"
"SVS","1","FAI","1","1"
"SVU","2","NAN SUV","1 2","2"
"SVX","94","ABA AER ALA ASF AYT BAX BHK BQS BSZ BUS CEE CXR DLM DME DOH DWC DXB DYU ESL EVN EYK GDZ GOJ GOX GSV GYD HKT HMA HRB HRG HTA IJK IKT IST KEJ KGD KHV KJA KRR KUF KVX KZN LBD LED MCX MMK MRV MSQ NJC NMA NNM NOJ NOZ NQZ NSK NUX NYA NYM OGZ OMS OSS OVB OVS PES PKX REN RGK RKT RMZ SCO SCW SGC SHJ SKD SKX SLL SLY SSH STW SVO SYX TAS TBS TJM TOF UFA ULV URJ UUD UWWW VKO VOG VVO YKS","1 5 1 1 5 1 1 1 1 1 1 4 1 1 1 1 1 2 1 3 1 1 1 1 1 3 2 1 1 2 1 1 2 2 1 2 1 2 3 2 1 1 1 5 2 1 2 1 3 2 1 1 1 1 1 2 1 1 1 1 2 3 1 1 1 1 1 1 1 1 1 2 1 1 1 1 1 2 1 2 1 3 1 1 1 2 1 1 1 2 1 1 1 1","31"
"SVZ","4","BRM CCS PMV VLN","2 3 1 3","4"
"SWA","62","BKK CAN CGO CGQ CKG CSX CTU CZX DLC DZH HAK HFE HGH HIA HNY HRB HSC HSN HYN INC KMG KUL KWE KWL LHW LJG LUM LXA LYG LYI LZO NGB NKG NNG NNY NTG PEK PKX PVG SHA SHE SIN SJW TAO TFU TNA TSN TYN UYN VTE WDS WNZ WUH WUX XIY XUZ YIH YIW YNT YNZ YTY ZHA","2 1 5 4 5 6 2 3 2 1 5 3 5 2 1 3 1 2 1 2 6 1 2 1 2 1 1 1 1 1 1 4 4 1 1 1 1 3 3 3 1 1 1 3 7 5 2 2 1 1 1 2 5 3 4 1 1 1 1 1 1 2","23"
"SWF","9","CHS FLL MCO MYR PGD PIE RDU RSW SFB","1 1 1 1 1 1 1 1 1","2"
"SWO","1","DFW","1","1"
"SWP","0","","","13"
"SWQ","2","DPS LOP","1 1","1"
"SWT","1","TOF","2","2"
"SWV","1","GDX","1","1"
