"origin","nb_outlinks","outlinks"
"BCN","177","ADB ALC ALG AMM AMS AOI ARN ATH ATL AUH BBU BCM BEG BER BES BEY BFS BGY BHX BJL BJZ BLQ BOD BOG BOS BRI BRQ BRS BRU BSL BTS BUD BVA CAI CDG CGN CLJ CMN CPH CRA CUN DEB DOH DSS DUB DUS DXB EIN ESB ESU EVN EWR EZE FAE FCO FEZ FLR FNC FRA GDN GOT GRU GVA GYD HAM HEL HER HKG IAD IAS ICN IST JED JFK JMK JTR KEF KRK KTW KUT KWI LAX LBA LCA LCG LCY LEI LEN LGW LHR LIG LIL LIM LIN LIS LPL LTN LUX LXR LYS MAD MAN MEX MIA MLN MRS MUC MXP NDR NTE OLB ORD ORK ORN ORY OSR OTP OVD OZZ PDL PEK PHL PMI PMO PNA PRG PUJ PVG RDO RIX RMO RMU RTM RUH SAW SCL SEA SEN SFO SID SIN SKG SKP SOF STR SVG SXB SZG SZX TGD TIA TLL TLV TNG TRF TRN TSR TTU TUN VAR VCE VIE VIT VLC VRN VVI WAW WMI WRO XPL XRY YHZ YUL YYC YYZ ZAG ZRH"
"BDA","12","ATL BOS BWI CLT EWR JFK LHR MCO MIA PHL YUL YYZ"
"BDB","1","BNE"
"BDD","0",""
"BDH","2","SYZ THR"
"BDJ","15","AAP BPN BTW CGK DPS HMS KBU KLP KUL PKY SMQ SRG SUB UPG YIA"
"BDL","42","ATL BNA BWI CHS CLT CMH CVG DAB DCA DEN DFW DTW DUB EWN FLL GSO GSP IAD IAH ILM JAX LAS MCO MDW MIA MSP MYR ORD ORF PBI PHL PHX PIT RDU RIC RSW SAV SDF SJU SRQ TPA VRB"
"BDO","3","CJN HLP JOG"
"BDP","3","KTM PHH TPJ"
"BDQ","8","BLR BOM DEL GOX HYD MAA NMI PNQ"
"BDS","36","AMS BGY BRU BSL BVA BZO CGN CTA DUB DUS EIN FCO FRA GOA GVA KTW LGW LHR LIN LUX LYS MAD MUC MXP NTE ORY OTP PRG RTM STN STR TRN VRN WMI WRO ZRH"
"BDT","0",""
"BDU","1","OSL"
"BEB","2","GLA SYY"
"BEF","3","MGA PUZ RNI"
"BEG","71","ADB AHO ALC AMM AMS ARN ATH BCN BER BJV BLQ BNX BRI BRU BSL CAN CDG CGN CHQ CPH CTA DJE DOH DXB EFL ESB FRA GOJ GVA HAM HER HRG INI IST JMK JSI KRK MIR MLA MMX MUC NAP NCE NQZ NUE OPO OSL OTP PEK PMO PRG PSA PUY PVK RHO RIX SAW SKG SKP SSH STR TFS TGD TIV TLV VAR VCE VIE WAW ZRH ZTH"
"BEJ","6","AAP BPN CGK RTU SUB UPG"
"BEK","2","BLR BOM"
"BEL","28","ATM BOG BSB BVS CAY CKS CNF FLL FOR GGF GIG GRU JPE LIS MAB MAO MCP MEU MIA OIA OPP PBM PTQ REC SLZ STM TUR VCP"
"BEM","3","BGY GRO TNG"
"BEN","17","AKF AMM ATH CAI DAM DWC FCO HBE IST JED MJI MLA MRA MSQ SEB TUN ZIS"
"BER","146","ACE ADB AGA AGP ALC AMM AMS ARN ATH AUH AYT BCN BEG BEY BGO BGW BHX BIA BIO BJV BOD BOJ BRI BRS BRU BSL BTS BUD BZO CAI CDG CDT CFU CGN CHQ COV CPH CTA DBV DIY DJE DLM DOH DUB DUS DWC DXB EBL EDI EMA ESB EVN EWR FAO FCO FDH FLR FNC FRA FUE GLA GOT GRZ GVA GYD GZP GZT HEL HER HRG IBZ IST JED JFK KAO KEF KGS KTT KUT LBA LCA LCY LGW LHR LIN LIS LPA LPL LTN LUX LYS MAD MAN MIR MLA NAP NCE NCL NTE OLB ORY OTP PEK PMI PMO PRN PUY PVK RAK RHO RIX RMF RMO SAW SCN SEN SJJ SKG SKP SOF SPU SPX SSH SVQ SZF SZG TBS TFS TIA TIV TLL TLV TOS TSR TUN TZL VAR VCE VIE VLC WAW YUL YYZ ZAG ZRH ZTH"
"BES","24","ACE AGA AGP ATH BCN BOD DUB FSC HER KIR LGW LYS MPL MRS NCE OPO OUI PRO PUF RAK SXB TFS TLN VNE"
"BET","37","AKI ANC ANI ATT AUK CYF DLG EEK EMK GNU HPB KKH KKI KOT KPN KSM KUK KWK KWN KWT MLL MOU MYU NME NUP OOK PKA PTU RSH SCM SXP TLT TNK VAK WNA WTL WWT"
"BEU","8","BNE BQL BVI CTL ISA ULP WNR WTB"
"BEW","7","ADD APL JNB MPM POL TET VPY"
"BEY","63","ABJ ADB ADD ALG AMM AMS ARN ATH AUH AYT BCN BER BGW BJV BRE BRU BSR CAI CDG COV CPH DBB DLM DMM DOH DUS DXB EBL ESB EVN FCO FRA GVA HAJ HAM HRG IST ISU JED JMK KWI LCA LHR LOS LYS MAD MCT MED MRS MXP NCE NJF ORY OTP PRG RUH SAW SHJ SSH SZG TBS WAW ZRH"
"BFD","2","IAD PIT"
"BFF","1","DEN"
"BFI","6","ESD FRD PDX SFF YVR YYJ"
"BFJ","6","CAN HAK HGH PKX PVG XIY"
"BFL","4","DEN DFW PHX SFO"
"BFM","2","AFW MEM"
"BFN","4","CPT DUR GRJ JNB"
"BFQ","0",""
"BFS","36","ACE AGP ALC AYT BGY BVA CFU CUN DLM EDI EMA FAO FUE GRO HER IBZ KRK LCA LPA MAH MAN MLA MLB NCE OPO PMI PRO REU RVN SOU SSH STN TFS TRN VRN ZTH"
"BFV","2","BKK DMK"
"BFX","1","DLA"
"BFY","0",""
"BGA","12","AUA AUC BAQ BOG CTG CUC EOH LPZ MDE PTY RVE SMR"
"BGF","7","ADD CMN DLA KGL LBV LFW NSI"
"BGG","3","ESB IST SAW"
"BGI","41","AMS ANU ATL BHX BOS CCS CLT CWL DOM DUB DUS EIS EWR FDF FRA GEO GLA GND IAD JFK KIN LGW LHR LOS MAN MIA NCL OGL PBM PHL POS PTP PTY SKB SLU SVD SXM TAB YHZ YUL YYZ"
"BGIL","1","JAV"
"BGKA","3","JEG QGQ QMK"
"BGKL","1","JUV"
"BGM","1","DTW"
"BGMO","0",""
"BGN","1","YKS"
"BGO","37","ABZ ALC AMS ARN BCN BER BUD CDG CHQ CPH DUB DUS EDI FCO FRA FRO GDN HAU HEL HOV KEF KRK LPA MAN MUC MXP OSL RIX SID SPU SZZ TFS TRF VAR VIE WMI ZRH"
"BGR","13","ATL CLT DCA DEN EWR JFK LGA MCO ORD PHL PIE RDU SFB"
"BGS","2","KCY KJA"
"BGTN","1","AGM"
"BGW","49","AMD AMM ATH AUH AYT BAH BER BEY BOM BSR CAI CAN DAM DEL DOH DUS DXB EBL ESB FRA GYD HRG IFN IKA ISB IST ISU JED KHI KIH KIK KUL KWI LHE MCT MED MHD MUC NJF OSM PEK SAW SHJ SSH SZF TUN TZX VKO XNH"
"BGY","72","ADB AGA AHO BBU BCM BEG BER BGO BHX BIQ BVC CAG CAI CDT CLJ CMN CPH CRA CTA DSS DUS DXB EVE EVN FEZ HBE HEL HER IAS KRK KWI LDE MAH NTE OLB OMO OMR OTP OVD PMI PMO POZ PVK RAK RHO RIX RMO SAW SBZ SCV SHJ SID SKP SOF SSH SVG SVQ TAS TBS TFS TGM TIA TLS TLV TRF TSR UGC VAR WAW WMI ZAZ ZTH"
"BHB","1","BOS"
"BHD","19","ABZ AMS BHX BLQ BRS CWL EDI GLA INV KOI LCY LGW LHR LPL LSI LTN MAN PMI VRN"
"BHE","6","AKL CHC NSN PMR PPQ WLG"
"BHH","4","AHB DMM JED RUH"
"BHI","5","AEP CRD MDQ PMY REL"
"BHJ","2","BOM DEL"
"BHK","11","DME HSA IST LED MCX SKD SVO TAS UGC VKO VVO"
"BHM","15","ATL BWI CLT DCA DFW DTW FLL HOU LGA MDW MIA ORD PHL RDU TPA"
"BHO","11","AMD BLR BOM DEL GOI HYD JED NMI PNQ REW RPR"
"BHP","2","BIR KTM"
"BHQ","3","ADL DBO SYD"
"BHR","4","BWA KTM PHH PKR"
"BHU","2","NMI STV"
"BHX","97","ABZ ADB AGA AGP ALC AMS ATQ AYT BCN BGI BGY BHD BJV BOJ BUD BVC BZG CDG CFU CHQ CMF CPH CRA CUN DEL DLM DOH DUB DUS DXB EDI EFL EGC FAO FCO FNC FRA GCI GLA GNB GRO GVA HER IBZ INN INV IOM IST JED JSI JTR KEF KGS KLX KRK KVA LCA LIN LIS LPA LRM MAD MAH MUC NAP NCE OTP PDV PMI POZ PRG PRO PVK RAK SAW SBZ SCV SDR SID SKG SMI SNN SSH SVQ SZG TFS TIA TLS TRN TSR VCE VIE VLC VRN ZAD ZRH ZTH"
"BHY","24","ACX CAN CGO CKG CSX CTU DLC HFE HGH HRB KHN LXA NAO PEK PKX PVG SHE SJW TEN TFU TYN WUH XIY YIH"
"BIA","35","ARN BER BES BIQ BOD BSL BVA CFR CGN CPH DLE DUS FRA GCI GOT GVA HAJ LGW LIL LUX LYS MPL MRS MUC NCE NTE NUE ORY OUD RNS STR SXB TLN TLS VIE"
"BIB","1","MGQ"
"BIH","2","DEN SFO"
"BII","3","KWA MAJ RNP"
"BIK","6","DJJ DRW FOO SOQ UPG ZRI"
"BIL","15","AZA DEN DFW GDV GGW HVR LAS MSP OLF ORD PDX PHX SDY SEA SLC"
"BIM","3","FPO MIA NAS"
"BIO","67","ACE AGP ALC AMS ARN ATH BCN BER BRS BRU BSL BUD CAI CDG CMN CPH DUB DUS EIN EWR FAO FCO FLR FNC FRA FUE GVA HAM HRG IBZ IST KRK LCG LIS LTN LUX LXR MAD MAH MAN MUC MXP NAP OPO ORK OSL PDL PMI PMO PRG SAW SCQ SID SPC SPU STR TFN TIA TNG TRN VCE VIE VLC VRN WAW XRY ZRH"
"BIQ","22","AMS ARN BGY BIA CDG CPH CRL DUB FRA FSC GVA LIL LUX LYS MRS MUC MXP NCE ORY RAK STN ZRH"
"BIR","4","BWA KTM PHH TMI"
"BIS","6","AZA DEN DFW LAS MSP ORD"
"BIU","1","RKV"
"BJA","9","ALG BRU CDG EBU HME LIL LYS MRS ORY"
"BJB","1","THR"
"BJF","9","ALF BVG HFT HVG KKN MEH TOS VAW VDS"
"BJH","1","DHI"
"BJI","1","MSP"
"BJL","17","AMS ARN BRU BTS CKY CMN CPH DSS FNA HEL IST LGW LIS LOS MAN NKC OSL"
"BJM","7","ADD BRU DAR EBB GOM KGL NBO"
"BJR","2","ADD LLI"
"BJU","3","DHI KEP SKH"
"BJV","70","AER ALA AMS ARN AYT BAH BBU BEG BER BEY BHX BLL BRS BRU BUD CGN COV CPH DOH DUB DUS DXB ECN EDI EMA ESB FRA GDN GLA GYD HAM IST JED KTW KWI LBA LED LEJ LGW LHR LPL LTN MAN MRV MSQ MUC NCL NQZ NRN NUE ORY OSL OTP PDV POZ PRG RMO RUH RZE SAW SKP SOF STN SVO VAR VIE VKO WAW WRO ZRH"
"BJW","2","KOE LBJ"
"BJX","16","ATL CJS CUN DFW IAH LAX MEX MTY NLU OAK ORD PBC PVR SMF TIJ YVR"
"BJZ","5","BCN LPA MAD PMI TFN"
"BKA","3","IKT KJA OVB"
"BKB","1","DEL"
"BKC","2","DRG OTZ"
"BKI","28","BWN CAN CGK CKG DYG FOC FUK HGH HKG ICN JHB KBR KCH KIX KUL KWE LBU LDU MNL PEN PKX PUS PVG SIN SZB SZX TFU TWU"
"BKK","140","ADD AKL ALA AMD AMM AMS ARN ASB AUH BAH BBI BFV BLR BNE BOM BWN CAN CCU CDG CGK CGO CGQ CIT CJU CKG CMB CNX CPH CRK CSX DAC DAD DEL DOH DPS DXB FCO FOC FRA HAK HAN HDY HEL HGH HKG HKT HND HYD ICN IKA IKT IST JED JJN KBV KHH KHV KIX KJA KKC KMG KTI KTM KTW KUL KWE KWI LED LGW LHR LHW LJG LPQ LYA MAD MCT MDL MEL MLE MNL MUC NAW NBO NGB NKG NNG NOU NRT NST OSL OVB PBH PEK PER PKX PNQ PQC PRG PUS PVG RGN RUH RUN SAI SGN SHJ SIN STV SVO SVX SWA SYD SYX SZX TAE TAO TAS TDX TFU THS TLV TNA TPE TSN UBN URT USM UTH VIE VNS VTE VVO WAW WUH XIY XMN YCU YTY YVR ZRH"
"BKL","0",""
"BKM","3","BBN LWY MYY"
"BKN","4","ASB CRZ MYP TAZ"
"BKO","19","ABJ ADD ALG BYK CDG CKY CMN COO DSS GAQ IST LFW NBO NIM NKC ORY OUA TOM TUN"
"BKQ","2","BNE LRE"
"BKS","4","CGK ENG MPC PXA"
"BKW","3","CLT MYR PKB"
"BKY","4","FBM FMI GOM KOO"
"BKZ","2","DAR MWZ"
"BLA","2","CCS PMV"
"BLB","0",""
"BLE","3","LCA LPA RHO"
"BLI","9","AZA BUR ESD FRD LAS OAK PDX PSP SEA"
"BLJ","5","ALG CDG LYS MRS ORY"
"BLL","37","AGP ALC AMS ARN AYT BCN BGO BGY BUD BZO CDG CHQ CLJ CPH FAE FCO FRA GDN GOH HEL IAS INN IOA IST KEF KTW LGW LHR LPA OPO OSL OTP RIX RNN TIA TLL WAW"
"BLQ","74","AHO AMM AMS AOK ARN ATH BCM BCN BDS BEG BRU CAG CAI CDG CDT CFU CGN CHQ CIY CLJ CMN CPH CRA CTA DUS DXB EIN FCO FOG FRA FUE HEL HER IAS IBZ IST JMK KGS KRK LHR LIS LUX LXR LYS MAD MAH MAN MUC OLB OSL OTP PMI PMO RAK RHO RMF RMO SAW SCV SDR SKP SSH TBS TFS TIA TLV TPS TSR TUN VIE VLC WAW WRO ZRH"
"BLR","108","ADD AGR AGX AMD AMS ATQ AUH AYJ BAH BBI BDQ BEK BHO BKK BOM CCJ CCU CDG CJB CMB CNN COK DBR DED DEL DGH DIB DMK DMM DOH DPS DXB FRA GAU GOI GOP GOX GWL HAN HBX HDO HKG HKT HSR HYD IDR ISK IXA IXB IXC IXD IXE IXG IXJ IXM IXR IXU IXX IXZ JAI JDH JED JRG JSA KJB KLH KNU KTM KUL KWI LGK LHR LKO MAA MCT MLE MRU MUC NAG NDC NMI NRT PAT PNQ PNY RDP RJA RPR RQY RUH SAG SDW SGN SHJ SIN STV SXR SXV SYD TCR TIR TRV TRZ UDR VDY VGA VNS VTZ"
"BLV","8","GUF JAX LAS PGD SAV SFB SRQ VPS"
"BLW","0",""
"BLZ","4","ADD DAR JNB LLW"
"BMA","2","THN VXO"
"BMB","2","FKI LIQ"
"BME","10","DRW FIZ GET HCQ KNX KTA MEL PER PHE SYD"
"BMI","6","ATL AZA DFW ORD PIE SFB"
"BMO","1","MDL"
"BMU","3","DPS LOP UPG"
"BMV","5","DAD HAN SGN THD VII"
"BMW","2","AZR TMR"
"BMY","2","GEA KOC"
"BNA","115","ABE ABQ ALB ATL ATW AUS BDL BHM BOS BUF BUR BWI BZN CHS CID CLE CLT CMH CUN CVG DAL DCA DEN DFW DSM DTW DUB ELP EWR FAR FLL FNT FSD GRR GSP GUF HDN HOU HVN IAD IAH ILM IND JAX JBR JFK KEF LAL LAS LAX LGA LGB LHR LIT MBJ MCI MCO MDT MDW MEM MHT MIA MKE MSP MSY MTJ MYR OKC ORD ORF PBI PDX PGD PHL PHX PIA PIE PIT PNS PUJ PVD PVU RDU RFD RIC RNO ROC RSW SAN SAT SAV SDF SEA SFB SFO SJC SJO SJU SLC SMF SNA SRQ SYR TBN TPA TUL TUP TYS VPS XNA YTZ YUL YVR YYC YYZ"
"BNB","2","FIH MDK"
"BNC","7","BKY BUX FBM FKI FMI GOM IRP"
"BND","19","AEU AWZ AZD BUZ DOH DXB IFN KIH LFM MHD NJF RAS SHJ SRY SXI SYZ TBZ THR ZBR"
"BNE","100","ABX ADL AKL APW ARM ASP AVV AYQ BBL BCI BDB BEU BKK BKQ BQL BVI CAN CBR CFS CHC CMA CNJ CNS CTL DBO DFW DOH DPS DRW DXB EMD GLT GOV GTS GYB HBA HIR HKG HTI HVB ICN INU ISA IVR KIX KUL KYB LAX LRE LST MAJ MCY MEL MKY MNL MOO MOV MUA NAA NAN NLK NOU NRT NTL OAG OCM PER PNI POM PPP PQQ PVG RAR RMA ROK ROR SFO SGN SGO SIN SON SYD THG TMW TPE TRW TSV ULP VLI WEI WGA WLE WLG WLP WNR WOL WTB XTG YVR ZQN"
"BNI","3","ABV LOS PHC"
"BNK","2","MEL SYD"
"BNN","4","BOO OSL SSJ TRD"
"BNS","2","CCS PMV"
"BNX","11","ATH AYT BEG BSL DTM FKB FMM GOT HRG STR TIV"
"BNY","2","HIR RNL"
"BOB","9","FAV HUH MAU MOZ PPT RFP RGI TIH XMH"
"BOC","3","LIO PAC SJO"
"BOD","77","ACE AGA AGP AJA ALC ALG AMS ATH BCN BES BRI BRS BRU BSL BUD CAG CDG CFU CMN CPH CTA DJE DSS DUB EDI EIN ESU FAO FCO FDF FEZ FLR FNC FRA GLA GVA HER HRG IBZ IST LGW LIL LPA LTN LUX LYS MAD MLA MPL MRS MUC NCE OLB ORK ORN OSL OTP PMI PRG PRO PTP RAK RBA SID SPU SXB TFS TIA TLN TNG TUN VCE VIE VIL VLC YUL ZRH"
"BOG","81","ADZ AMS ATL AUA AUC AXM BAQ BEL BGA BLB BOS BSB CCS CDG CLO COR CTG CUC CUN CUR DFW DXB EJA EOH EWR EYP EZE FLA FLL FRA GDL GEO GIG GRU GUA GYE HAY IAH IPI IST LIM LMC LPB MAD MBJ MCO MDE MEX MIA MTR MTY MVD MVP NLU NVA PDA PEI PPN PSO PTX PTY PUJ PUU RCH SAL SCL SDQ SJO SJU SMR TCO TPA UIB UIO VGZ VLN VUP VVC YUL YYZ ZRH"
"BOH","20","ACE AGP ALC CFU CHQ DLM EDI FAO FUE GRO GVA HER MAH PFO PMI RHO RMU TFS ZAD ZTH"
"BOI","19","ATL AZA BUR BZN DAL DEN DFW LAS LAX MDW MSP ORD PHX PSP SAN SEA SFO SMF SNA"
"BOJ","53","AMS ARN BER BHX BRQ BRS BRU BTS BUD CGN CPH CWL DUB DUS EDI EMA ERF FRA GDN GLA GOT HAJ HAM HEL JCL KRK KSC KTW KUN LGW LIL LPL LTN LUX MAD MAN MST MUC NCL ORY OSL OSR POZ PRG RIX STN STR SZG TLL TRD UME VIE WMI"
"BOM","118","ADD ADE AIP ALA AMD AMM AMS ATQ AUH AYJ BAH BBI BDQ BGW BHJ BHO BKK BLR CAI CCJ CCU CDG CGK CJB CMB CNN COK CPH DAC DAR DBR DED DEL DGH DIB DIU DMK DMM DOH DPS DXB EBB EWR FJR FRA GAU GOI GOP GOX GWL GYD HAN HBX HGI HKG HKT HND HSR HYD IDR IKA IMF IST IXB IXC IXD IXE IXG IXJ IXK IXL IXS IXU JAI JDH JED JGA JLG JSA KLH KNU KTM KUL KWI LHR LKO MAA MAN MCT MDA MED MLE MRU MUC NAG NBO NJF NRT PAT PBH RJA RPR RUH SEZ SGN SHJ SIN SSE SXR TAS TRV TRZ UDR VGA VNS VTZ YYZ ZRH"
"BON","13","AMS ATL AUA BAQ CUR EWR IAH JBQ MDE MIA SDQ SXM YYZ"
"BOO","15","ANX ARN BGO BNN CHQ ENVR EVE HEL LKN LPA MUC OSL PMI TOS TRD"
"BOR","2","LPQ VTE"
"BOS","130","ACK AMS ANC ATL AUA AUG AUH AUS AVL AXA BCN BDA BGI BHB BNA BOG BUF BWI BZN CAP CDG CHS CLE CLT CMH CPH CUN CVG DAB DAL DCA DEN DFW DOH DSM DTW DUB DXB ECP EDI EWR EYW FCO FLL FRA GCM GRR GRU HHH HKG IAD IAH ICN ILM IND IST JFK KEF LAS LAX LGA LHR LIR LIS MAD MBJ MCI MCO MDT MDW MEM MEX MIA MKE MSN MSP MSS MSY MUC MVY MXP MYR NAS NRT OPO ORD ORF PBI PDL PDX PEK PHL PHX PIT PLS PNS PQI PTY PUJ RDU RKD ROC RSW RUT SAL SAN SAT SAV SDQ SEA SFO SLC SNN SRQ STI STL STT SXM SYR TLV TPA TYS UVF VIE VPS YHZ YTZ YUL YYZ ZRH"
"BOX","0",""
"BOY","2","ABJ OUA"
"BPA","1","CEB"
"BPE","7","BAV BQS KHV PVG SJW TFU VVO"
"BPG","2","CGB GYN"
"BPH","0",""
"BPL","12","AAT ACF AKU CGO KHG KRL LHW TCG TFU URC WUH YIN"
"BPN","24","APD BDJ BEJ BTH BWN CGK DPS GHS KNO KUL LNU LOP MDC MJU PKY PLW PNK SIN SRG SUB TJS TRK UPG YIA"
"BPS","18","AEP ARU BSB CGH CNF EZE GIG GRU JOI JTC LDB PPB RAO SDU SJP SSA UDI VCP"
"BPT","1","DFW"
"BPX","6","CKG CTU LXA MIG PEK XIY"
"BQB","9","BYP CJF CKW GET MEL OCM PER SLJ ZNE"
"BQG","2","KHV NGK"
"BQJ","1","YKS"
"BQK","1","ATL"
"BQL","8","BEU BNE BVI CTL ISA ULP WNR WTB"
"BQN","4","EWR FLL JFK MCO"
"BQS","20","BPE CXR DME GDX HKT HRB HTA IKT KHV KJA KLO OVB SVO SVX TYD UHBS UTP UUD UUS VVO"
"BQT","3","LED SSH SVO"
"BQU","6","BGI CIW MQS SVD UNI UVF"
"BQW","0",""
"BRA","2","CNF SSA"
"BRC","17","AEP BHI CNF COR EZE GRU MDQ MDZ PMC PMY POA ROS SCL SLA TUC VCP VDM"
"BRD","1","MSP"
"BRE","28","ACE ADB AGP ALC AMS AYT BEY BJV BOJ FRA FUE HER HRG IST MIR MUC PMI PRN RHO RMO SAW STN STR TFS VAR VIE ZAD ZRH"
"BRG","2","MDC NAH"
"BRI","58","AGP AMS ARN ATH BBU BCN BEG BGY BIO BOD BRS BRU CDG CFU CGN CLJ CPH DUB DUS EWR FCO FRA GRO GVA HAM IST JMK JTR KRK LGW LIL LIN LUX LYS MAD MAN MUC MXP NCE NTE OLB OMO ORY OSL OTP PVK RHO SKP SPU SSH STR TLS TLV VIE WRO ZAD ZRH ZTH"
"BRK","1","DBO"
"BRL","1","ORD"
"BRM","5","CCS PMV PTY PUJ SVZ"
"BRN","8","CAG CLY DJE KGS OLB PMI RHO XRY"
"BRO","4","DFW IAH MCO MTY"
"BRQ","24","ADB AGP AYT BCN BGY BJV BOJ CFU CHQ CIY DJE FCO FNC HER HKT MRU NBE STN TCP TGD TIA TIV VAR VOL"
"BRR","1","GLA"
"BRS","103","ABZ ACE ADB AGA AGP ALC AMS ATH AYT BCN BER BFS BHD BIO BJV BOD BOJ BSL BUD BZR CDG CFU CGN CHQ CMF CPH CTA DLM DUB EDI EFL EGC FAO FCO FNC FUE GCI GDN GIB GLA GNB GRO GVA HER HRG IBZ INV IOM JSI JTR KEF KGS KRK KUN LCA LEI LIG LIS LPA LYS MAD MAH MLA MUC MXP NAP NBE NCE NCL NOC OPO ORK OTP PMI PMO POZ PRO PSA PVK RAK REU RHO RMU RVN RZE SAW SID SKG SOF SPU SSH SZG TFS TIV TLS TOS TRN VCE VLC VRN WRO ZRH ZTH"
"BRT","1","DRW"
"BRU","137","ABJ ACE ADB ADD AGA AGP AHU ALC ALG AMM AMS AOE ARN ASR ATH ATL AUH AYT BCM BCN BDS BEG BEY BGO BJV BKK BLQ BOD BOJ BRI BVE CAI CHQ CKG CKY CMN COV CPH CTA DBV DJE DLM DOH DSS DUB DXB EBB ESB EVN EWR FAO FCO FEZ FIH FLR FNA FNC FRA GDN GOT GRU GVA HEL HER HKG IAD IBZ INN IST JED JFK JMK JRO KEF KGL KGS KTT LCA LHR LIN LIS LPA LXR MAD MLA MUC NAP NBE NBO NCE NDR NRT NSI NTE OPO ORD ORN OSL OTP OVD PEK PMI PRG PSA PVG RAK RBA RHO RIX RMO SAW SIN SKG SMI SOF SPU SZX TFS TFU TIA TIV TLL TLV TNG TOS TTU TUN VAR VCE VIE WAW YHZ YUL YYZ ZAG ZRH ZTH"
"BRW","6","AIN ANC ATK NUI PIZ SCC"
"BSA","8","ADD DXB GGR HGA JIB MGQ NBO SHJ"
"BSB","37","AEP AJU ASU BEL BOG BPS BVB CGB CGH CNF CPV CWB FLN GIG GRU GYN IMP LIM LIS MAB MAO MCO MIA PMW POA PTY PVH RBR REC SCL SDU SLZ SSA THE UDI VCP VIX"
"BSC","3","CLO EOH UIB"
"BSD","6","CSX KMG NKG SZX TFU WUX"
"BSG","2","LBV SSG"
"BSK","3","ALG LYS ORY"
"BSL","73","ADB ALC ALG AMS ASR ATH AYT BBU BCN BEG BER BIA BJV BNX BOD BRI BTS BUD CAG CDG CLJ CMN CPH CTA CZL DBV DJE DUB DXB ESB FAO FRA GZT HRG IAS IBZ INI IST KRK LCA LHR LIL LTN MAD MAH MLA MUC OHD ORN OSL PMI POZ PRN RAK RBA RMO SAW SBZ SKP SOF TGD TGM TLS TLV TSR TUN TZL VIE WAW WRO YUL ZAD ZAG"
"BSO","4","CRK LAO RPLT TUG"
"BSR","15","AMM BEY BGW CAI DAM DEL DOH DXB EBL IST ISU MCT MHD PEK SAW"
"BSX","2","AKY RGN"
"BSZ","40","ALA AYT CAN CIT CXR DEL DME DXB DYU ESB GRV GYD ICN IKG ISB IST JBD JED KJA KWI KZN LED LHE MCX NQZ OSS OVB PEK PKX SAW SGC SHJ SSH SVO SVX TAS TFU URC VKO XIY"
"BTC","2","CMB RML"
"BTH","19","BPN CGK DJB DTB ICN JED KNO KUL LMU NTX PDG PGK PLM PPR RGT SIQ SUB TKG YIA"
"BTI","2","FAI SCC"
"BTJ","9","CGK JED KNO KUL LKI LSR MED PEN SBG"
"BTK","3","DME IKT OVB"
"BTM","2","DEN SLC"
"BTR","5","ATL CLT DCA DFW IAH"
"BTS","34","ALC ATH AYT BAH BOJ BVC CCE CDT CFU CIA CRL DBB DOH DXB EVN HKT HRG IBZ JMK KUT MIR MRU OTP PMI PQC PRN PUJ RMO SAW SKG SUF TGD VAR WMI"
"BTT","3","AET FAI HUS"
"BTU","6","BKI KCH KUL MKM MYY SBW"
"BTV","18","ATL CHS CLT DCA DEN DTW EWR IAD IAH JFK LGA MCO MSP ORD PHL RDU RSW TPA"
"BTW","2","BDJ UPG"
"BTZ","0",""
"BUA","3","LAE POM RAB"
"BUC","5","CNS DMD ISA NTN ONG"
"BUD","103","ACE ADB ALC ALG AMM AMS ARN ATH AUH AYT BBU BCN BEG BER BGY BHX BJV BLL BLQ BOD BOJ BRU BSL CAG CAI CAN CDG CFU CGN CHQ CIT CKG CPH CTA DBV DOH DTM DUB DUS DXB EMA EVN FRA FUE GOA GOT HAM HEL HRG ICN IST JMK KTW KWI LBA LEI LGW LHR LIS LPA LUX LYS MAD MAN MRS MUC NAP NGB NTE NUE OSL OTP PEK PHL PMI PMO PVG RIX RMI SAW SEN SKG SPX STN STR SUF SZX TAS TFS TGM TIA TLS TLV TSF VIE VLC WAW WMI XIY YYZ ZAD ZRH ZTH"
"BUF","25","ATL BNA BOS BWI CLT DEN DFW DTW EWR FLL IAD JFK LAS LAX LGA MCO MDW MIA MSP ORD PBI PHL PHX RDU RSW"
"BUG","2","LAD WDH"
"BUI","2","DJJ WMX"
"BUL","1","POM"
"BUN","2","BOG EOH"
"BUP","2","DEL HDO"
"BUQ","5","ADD CPT HRE JNB VFA"
"BUR","35","ABQ ACV APC ATL AUS BLI BNA BOI CCR DAL DEN DFW DSM EUG HNL IND JFK LAS MDW MRY OAK PDX PHX PVU RDM RNO SCF SFO SJC SLC SMF SNA STL STS TSM"
"BUS","31","AER ALA AMM CIT DME DMM DXB GSV GUW GYD IKA IST JED KRR KWI KZN LED MRV MSQ NQZ OVB RIX RUH SAW SVX TAS TLV UFA UGSA VKO ZIA"
"BUT","1","PBH"
"BUU","1","CGK"
"BUW","1","UPG"
"BUX","7","BKY BNC FBM FKI FMI GOM IRP"
"BUZ","3","DXB MED THR"
