"origin","nb_outlinks","outlinks","weights","nb_airlines"
"CIZ","0","","","0"
"CJA","0","","","0"
"CJB","1","BLR","1","1"
"CJB6","0","","","0"
"CJC","0","","","0"
"CJF","0","","","0"
"CJJ","2","ICN PVG","1 1","1"
"CJL","0","","","0"
"CJM","0","","","0"
"CJN","0","","","0"
"CJR3","0","","","0"
"CJS","4","LAP MTY SLP TLC","1 1 1 1","2"
"CJU","0","","","0"
"CJZ","0","","","0"
"CKB","0","","","0"
"CKD","0","","","0"
"CKD9","0","","","0"
"CKG","27","ADD AMS AUH BLR CAN CGO DAC DEL DFW FRA GRU HAN HKG ICN JFK KJA KUL LGG LOS LUX MIA ORD PVG SVO SYD TPE UIO","1 2 1 1 2 1 1 2 1 2 1 1 2 1 1 1 1 1 1 1 1 2 6 2 1 3 1","17"
"CKH","0","","","0"
"CKI","0","","","0"
"CKS","0","","","0"
"CKW","0","","","0"
"CKX","0","","","0"
"CKY","0","","","0"
"CKZ","0","","","0"
"CLD","0","","","0"
"CLE","0","","","0"
"CLJ","0","","","0"
"CLL","0","","","0"
"CLO","3","BOG MDE MIA","1 1 2","3"
"CLP","0","","","0"
"CLQ","0","","","0"
"CLT","0","","","0"
"CLV","0","","","0"
"CLY","0","","","0"
"CMA","0","","","0"
"CMB","7","BLR BOM HKG IST KMG MAA MLE","1 1 1 1 1 2 1","4"
"CME","0","","","0"
"CMF","0","","","0"
"CMG","0","","","0"
"CMH","0","","","0"
"CMI","0","","","0"
"CMJ","0","","","0"
"CMN","16","ABJ ACC BKO BRU CDG DLA DOH FRA IST LBV LGW LIS LOS MAD ORY TNG","1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1","6"
"CMU","0","","","0"
"CMW","0","","","0"
"CMX","2","MKE MSN","1 1","1"
"CNC","0","","","0"
"CND","0","","","0"
"CNF","0","","","0"
"CNI","0","","","0"
"CNJ","0","","","0"
"CNM","0","","","0"
"CNN","0","","","0"
"CNP","0","","","0"
"CNQ","0","","","0"
"CNS","4","BNE MEL SYD TSV","1 1 1 1","1"
"CNX","0","","","0"
"CNY","0","","","0"
"COC","0","","","0"
"COD","0","","","0"
"COG","0","","","0"
"COK","0","","","0"
"COL","0","","","0"
